title_zh,title_en,release_year,listed_in_zh_en,description,rating,duration_min,genre_list
狄克·約翰遜之死,Dick Johnson Is Dead,2020,紀錄片 (Documentary),隨著她父親接近生命的終點，製片人 Kirsten Johnson 以獨特和滑稽的方式設計他的死亡，幫助他們兩人面對必然的結局。,PG-13,90.0,['Documentaries']
血與水,Blood & Water,2021,"國際影集 (International TV), 劇情片 (Drama), TV Mysteries",在一次派對上相遇之後，開普敦的一位少年展開行動，試圖證明一位私立學校游泳明星是否是她在出生時被綁架的妹妹。,TV-MA,2.0,"['International TV Shows', 'TV Dramas', 'TV Mysteries']"
黑幫世界,Ganglands,2021,"懸疑片 (Suspense), 國際影集 (International TV), 動作片 (Action)",為了保護家人不受強大的毒販的威脅，技術嫻熟的小偷梅迪和他的專業搶劫團隊被捲入一場暴力又致命的勢力爭奪戰中。,TV-MA,1.0,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']"
監獄之鳥：新奧爾良,Jailbirds New Orleans,2021,"訪談式紀錄劇集 (Docuseries), 實境秀 (Reality TV)",《新奧爾良監獄：女囚實錄》故事發生在新奧爾良的奧爾良司法中心，描述女囚之間的爭端、調情和閒聊，以及監獄裡的生活點滴。,TV-MA,1.0,"['Docuseries', 'Reality TV']"
《柯塔工廠》,Kota Factory,2021,"國際影集 (International TV), 愛情片 (Romance), 喜劇片 (Comedy)",在一個以培訓印度最優秀大學生聞名的補習中心城市裡，一名認真但普通的學生和他的朋友們努力適應校園生活。,TV-MA,2.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
午夜彌撒,Midnight Mass,2021,"劇情片 (Drama), 恐怖片 (Horror), TV Mysteries",一位充滿魅力的年輕牧師的到來，帶來了榮耀的奇蹟，不祥的神秘和重燃的宗教熱情，讓一個垂死的城鎮急切地渴望相信。,TV-MA,1.0,"['TV Dramas', 'TV Horror', 'TV Mysteries']"
小馬寶莉：新世代,My Little Pony: A New Generation,2021,Children & Family Movies,艾奎斯特麗亞四分五裂。但一位眼睛炯炯有神的英雄相信地精、飛翼馬和獨角獸應該成為朋友，而且她下定決心要證明這一點。,PG,91.0,['Children & Family Movies']
回到起點,Sankofa,1993,"劇情片 (Drama), Independent Movies, International Movies",在加納的一次攝影活動中，一位美國模特兒穿越回過去，成為一個種植園上的奴隸，並目睹了她祖先的痛苦。,TV-MA,125.0,"['Dramas', 'Independent Movies', 'International Movies']"
美好的英國烘焙秀,The Great British Baking Show,2021,"英國影集 (British TV), 實境秀 (Reality TV)",一群有才華的業餘烘焙師將在為期10週的比賽中展開競爭，期望能夠製作出最好的料理，並獲得被譽為英國最優秀的烘焙師。,TV-14,9.0,"['British TV Shows', 'Reality TV']"
星雀情緣,The Starling,2021,"喜劇片 (Comedy), 劇情片 (Drama)",一位在失去後適應生活的女性，必須應付她花園裡佔據一切的倔強鳥兒，以及一個努力尋找前進方式的丈夫。,PG-13,104.0,"['Comedies', 'Dramas']"
仇恨：真相、謊言與黑手黨,"Vendetta: Truth, Lies and The Mafia",2021,"懸疑片 (Suspense), 訪談式紀錄劇集 (Docuseries), 國際影集 (International TV)",「西西里島以其勇敢的『反黑手黨』聯盟而自豪。但當試圖打倒有組織犯罪的人被指控犯下犯罪時，會發生什麼事呢？」,TV-MA,1.0,"['Crime TV Shows', 'Docuseries', 'International TV Shows']"
曼谷危情,Bangkok Breaking,2021,"懸疑片 (Suspense), 國際影集 (International TV), 動作片 (Action)",在曼谷掙扎謀生的一名男子加入了緊急救援服務，意識到他必須揭開整個城市的陰謀。,TV-MA,1.0,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']"
我是卡爾,Je Suis Karl,2021,"劇情片 (Drama), International Movies",在一起大部分的家人在一次恐怖攻擊中被殺害後，一名年輕女子無意間被誘使加入了殺害他們的團體。,TV-MA,127.0,"['Dramas', 'International Movies']"
一個隱形女孩的告白,Confessions of an Invisible Girl,2021,"Children & Family Movies, 喜劇片 (Comedy)",當聰明但社交不擅的泰泰加入新學校時，她會不惜一切去融入。但是她的班上的女王蜂卻有其他打算。,TV-PG,91.0,"['Children & Family Movies', 'Comedies']"
印度偵探：犯罪故事,Crime Stories: India Detectives,2021,"英國影集 (British TV), 懸疑片 (Suspense), 訪談式紀錄劇集 (Docuseries)",攝影機跟隨班加羅爾警方工作，提供了一個罕見的視角，讓人們深入了解四個重大犯罪調查的複雜和具有挑戰性的內部運作。,TV-MA,1.0,"['British TV Shows', 'Crime TV Shows', 'Docuseries']"
親愛的白人們,Dear White People,2021,"喜劇片 (Comedy), 劇情片 (Drama)","有色學生在一所常被認為並非""後種族主義""的常春藤盟校中，穿梭於日常的輕蔑和政治勾心鬥角之中。",TV-MA,4.0,"['TV Comedies', 'TV Dramas']"
歐洲最危險的人：奧托·斯科爾森在西班牙,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,"紀錄片 (Documentary), International Movies",解密文件揭露了二戰後奧托·斯科爾岑尼的生活，他是一位希特勒親信，逃至西班牙並成為世界總統的顧問。,TV-MA,67.0,"['Documentaries', 'International Movies']"
假冒身份,Falsa identidad,2020,"懸疑片 (Suspense), Spanish-Language TV Shows, 劇情片 (Drama)",Diego和Isabel兩人逃離墨西哥的家園，假扮成已婚夫妻，逃避Diego的販毒敵人和Isabel的虐待丈夫。,TV-MA,2.0,"['Crime TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']"
